,loss,mean_absolute_error,mean_squared_error,mean_squared_logarithmic_error,binary_crossentropy,root_mean_squared_error,psnr,ssim,val_loss,val_mean_absolute_error,val_mean_squared_error,val_mean_squared_logarithmic_error,val_binary_crossentropy,val_root_mean_squared_error,val_psnr,val_ssim
mean_absolute_error,0.056045007,0.056045007,0.006729491,0.003212882,0.552392006,0.06401208,77.20169067,0.161936164,0.055051539,0.055051539,0.006493932,0.003105991,0.551834762,0.062991813,77.02906036,0.157870173
mean_squared_error,0.006540647,0.056367654,0.006540647,0.003147138,0.551915765,0.064108439,77.12374115,0.167407557,0.006350004,0.055636253,0.006350004,0.00303969,0.552348912,0.063340701,76.99915314,0.164021268
mean_squared_logarithmic_error,0.003153841,0.056303978,0.006623177,0.003153841,0.552504778,0.06415198,77.18335724,0.169199675,0.003014713,0.055648264,0.006385949,0.003014713,0.552019894,0.063316643,77.06600189,0.164938614
binary_crossentropy,0.556984782,0.063930698,0.008790299,0.00420766,0.556984782,0.071655929,78.66882324,0.188216522,0.555566609,0.063628577,0.008609779,0.004136808,0.555566609,0.071375906,78.57487488,0.185146853
root_mean_squared_error,0.064781465,0.057289794,0.007099919,0.003385584,0.553213656,0.064781465,77.56341553,0.159660667,0.062173232,0.054867432,0.006616963,0.003156097,0.550440907,0.062173232,77.26954651,0.154742107
