,loss,mean_absolute_error,mean_squared_error,mean_squared_logarithmic_error,binary_crossentropy,root_mean_squared_error,psnr,ssim,val_loss,val_mean_absolute_error,val_mean_squared_error,val_mean_squared_logarithmic_error,val_binary_crossentropy,val_root_mean_squared_error,val_psnr,val_ssim
mean_absolute_error,0.056366358,0.056366358,0.007021248,0.003356425,0.553122997,0.064166702,77.51805115,0.164697319,0.0554506,0.0554506,0.006627481,0.003155723,0.552463233,0.063126922,77.39402008,0.160369664
mean_squared_error,0.006868109,0.057530832,0.006868109,0.003317229,0.554069936,0.065354645,77.46827698,0.182225436,0.006761823,0.057366632,0.006761823,0.00325172,0.552473545,0.065191686,77.43453979,0.180910692
mean_squared_logarithmic_error,0.003324219,0.057803113,0.006983558,0.003324219,0.553470194,0.065700248,77.53900146,0.176632673,0.003202708,0.056517955,0.006717271,0.003202708,0.551430762,0.064304233,77.3629303,0.172862947
binary_crossentropy,1.111245036,0.361759186,0.193247929,0.10211426,1.111245036,0.368962169,92.42316437,0.618482411,1.115770221,0.36596182,0.196813092,0.103556067,1.115770221,0.37311855,92.51177216,0.617099345
root_mean_square_error,0.064943552,0.057535496,0.007253171,0.003452841,0.553349555,0.064943552,77.66192627,0.159340799,0.064214602,0.056918483,0.006971303,0.003319307,0.55375582,0.064214602,77.5745163,0.157089517
