,loss,mean_absolute_error,mean_squared_error,mean_squared_logarithmic_error,binary_crossentropy,root_mean_squared_error,psnr,ssim,val_loss,val_mean_absolute_error,val_mean_squared_error,val_mean_squared_logarithmic_error,val_binary_crossentropy,val_root_mean_squared_error,val_psnr,val_ssim
mean_absolute_error,0.038964767,0.038964767,0.003516547,0.001727995,0.549471438,0.043661207,74.6228714,0.150534526,0.0389897,0.0389897,0.003491739,0.001695431,0.54844445,0.04384375,74.59646606,0.146914408
mean_squared_error,0.003791197,0.041752264,0.003791197,0.001851835,0.548574805,0.046712823,75.03585052,0.167864487,0.003601312,0.040460419,0.003601312,0.001752504,0.549110711,0.045419917,74.84015656,0.16260846
mean_squared_logarithmic_error,0.001799656,0.041433431,0.003745952,0.001799656,0.549208701,0.046421997,74.97599792,0.168272495,0.001731696,0.040789243,0.003633597,0.001731696,0.548323095,0.04581438,74.84119415,0.16342856
binary_crossentropy,0.552192807,0.049256276,0.005468462,0.002665692,0.552192807,0.055500887,76.68856812,0.220203519,0.552205622,0.04848326,0.005271306,0.002575886,0.552205622,0.054763354,76.5831604,0.216193229
root_mean_squared_error,0.04404746,0.039589938,0.003540807,0.001726323,0.547886491,0.04404746,74.64635468,0.146015182,0.042726815,0.038380742,0.003365235,0.001634951,0.545773923,0.042726815,74.45915222,0.140886039
