,loss,mean_absolute_error,mean_squared_error,mean_squared_logarithmic_error,binary_crossentropy,root_mean_squared_error,psnr,ssim,val_loss,val_mean_absolute_error,val_mean_squared_error,val_mean_squared_logarithmic_error,val_binary_crossentropy,val_root_mean_squared_error,val_psnr,val_ssim
mean_absolute_error,0.026674185,0.026674185,0.001574768,0.000759978,0.538679838,0.029992564,71.52387238,0.120229304,0.026397014,0.026397014,0.001541013,0.000736896,0.538711429,0.029667834,71.41674042,0.117946759
mean_squared_error,0.00140517,0.026353667,0.00140517,0.000690082,0.538343608,0.029547993,71.06203461,0.121074967,0.001358161,0.025790533,0.001358161,0.000661376,0.537627339,0.028933477,70.92246246,0.119652778
mean_squared_logarithmic_error,0.000673709,0.026444744,0.001423522,0.000673709,0.538195848,0.029628655,71.12401581,0.11828728,0.000653393,0.025997132,0.001397779,0.000653393,0.538212597,0.029241027,71.01902771,0.116523519
binary_crossentropy,0.538743734,0.028258607,0.001652913,0.000793288,0.538743734,0.031761132,71.74449158,0.122045636,0.537315071,0.02772446,0.00160296,0.00076593,0.537315071,0.031164194,71.63186646,0.120339848
root_mean_square_error,0.02995714,0.02682063,0.001592402,0.000768748,0.538116992,0.02995714,71.55319977,0.117445268,0.029721251,0.026593868,0.001568546,0.000752698,0.537607133,0.029721251,71.49491119,0.116963819
