,loss,mean_absolute_error,mean_squared_error,mean_squared_logarithmic_error,binary_crossentropy,root_mean_squared_error,psnr,ssim,val_loss,val_mean_absolute_error,val_mean_squared_error,val_mean_squared_logarithmic_error,val_binary_crossentropy,val_root_mean_squared_error,val_psnr,val_ssim
mean_absolute_error,0.041854449,0.041854449,0.00392375,0.001946341,0.544720531,0.04641268,75.2403183,0.181876406,0.041321177,0.041321177,0.003839931,0.001889857,0.544355035,0.045892548,75.13365173,0.175980255
mean_squared_error,0.00429478,0.044819608,0.00429478,0.002130073,0.547348142,0.049880687,75.66288757,0.209590882,0.004137011,0.04445887,0.004137011,0.002027067,0.545984626,0.049459498,75.50311279,0.202494204
mean_squared_logarithmic_error,0.002242111,0.045346938,0.004539345,0.002242111,0.548126459,0.050610684,75.98577881,0.219460398,0.002178951,0.044837013,0.004436692,0.002178951,0.546378613,0.050060932,75.90711212,0.212991104
binary_crossentropy,0.557081342,0.065885931,0.008629178,0.004321567,0.557081342,0.074238256,78.6676712,0.252135158,0.554934144,0.064618766,0.008204428,0.004105361,0.554934144,0.072891101,78.50704193,0.245239481
root_mean_squared_error,0.045021959,0.040853214,0.003839485,0.001893235,0.544854343,0.045021959,75.17298126,0.164756015,0.045535348,0.04127812,0.003914257,0.001901677,0.544663846,0.045535348,75.26517487,0.162057608
